dayType,date,deviceType,Channel,Users,OrderCount,FirstTimeUsers,ReturningUsers
BAU,20230705,WEB,Others,1320,3,917,403
SALE,20230701,WEB,whatsapp,36,0,28,8
SALE,20230701,WEB,SEO,2612,1,2298,314
SALE,20230701,WEB,Google,985,3,852,133
SALE,20230701,WEB,Others,1170,3,883,287
SALE,20230701,WAP,SEO,8819,140,8806,13
SALE,20230701,WAP,Direct,41090,1602,40955,135
SALE,20230701,WAP,whatsapp,1391,100,1381,10
SALE,20230701,WEB,FB,256,0,164,92
SALE,20230701,WAP,Others,137634,15945,137227,407
SALE,20230701,WAP,Google,73480,3574,73315,165
SALE,20230701,WEB,Direct,22710,2,21896,814
SALE,20230701,WAP,FB,266853,21120,266490,363
SALE,20230915,WEB,SEO,2485,2,2194,291
SALE,20230915,WEB,Others,932,3,629,303
SALE,20230915,WAP,Google,64875,2782,64778,97
SALE,20230915,WAP,Others,105524,12197,105188,336
SALE,20230915,WEB,Google,991,3,840,151
SALE,20230915,WAP,Direct,37606,1569,37478,128
SALE,20230915,WAP,SEO,6433,100,6426,7
SALE,20230915,WEB,whatsapp,15,0,11,4
SALE,20230915,WEB,FB,520,0,356,164
SALE,20230915,WAP,whatsapp,624,36,621,3
SALE,20230915,WEB,Direct,16558,0,15636,922
SALE,20230915,WAP,FB,204460,15809,204211,249
SALE,20231013,WAP,whatsapp,865,58,863,2
SALE,20231013,WAP,Others,109501,11192,109226,275
SALE,20231013,WEB,Direct,20553,5,19594,959
SALE,20231013,WAP,Google,57876,2357,57779,97
SALE,20231013,WEB,SEO,2645,0,2314,331
SALE,20231013,WAP,SEO,6952,137,6933,19
SALE,20231013,WEB,Others,1114,5,765,349
SALE,20231013,WEB,Google,1760,3,1620,140
SALE,20231013,WAP,Direct,42766,1921,42606,160
SALE,20231013,WEB,FB,510,1,332,178
SALE,20231013,WEB,whatsapp,17,0,14,3
SALE,20231013,WAP,FB,198114,13795,197888,226
